,Название региона,Номер региона (ОКАТО),Название показателя,Номер показателя (ID),Ед. измерения,Источник,Описание,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
912,Орловская область,54000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,63.12650010909885,,61.288044255806184,,53.92576147074861,,50.92609623911972,,45.432283561813016,,,
913,Пензенская область,56000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,58.03940257443254,,56.823045987060674,,49.828511215887985,,50.16675613375856,,41.18691989792462,,,
914,Пермский край,57000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,50.766673318698864,,48.509549675836695,,44.07358312713562,,43.04103611783697,,36.45465585598457,,,
915,Приморский край,5000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,54.051241182854035,,50.49343762035967,,43.40474787241567,,40.03114654547591,,35.866185779478876,,,
916,Псковская область,58000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,70.33054529654574,,69.87025582661191,,57.06704842807843,,52.364252052058305,,49.01912356573257,,,
917,Республика Адыгея,79000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,63.75683302848184,,63.46530934050645,,54.1801791671352,,53.03925391564307,,45.252527914889534,,,
918,Республика Алтай,84000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,77.89821094793058,,75.60720772392698,,53.208898123412816,,57.44589382584429,,49.67662147306706,,,
919,Республика Башкортостан,80000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,52.31478043093398,,50.276207805711316,,43.6474749866793,,43.87378769060014,,38.4921647933985,,,
920,Республика Бурятия,81000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,49.51752318088952,,47.18948446568795,,43.678692253020614,,43.54361191642507,,40.00897416060653,,,
921,Республика Дагестан,82000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,76.30148216159498,,74.41609667122663,,65.09159541568128,,60.41654420988495,,60.319942748091606,,,
922,Республика Ингушетия,26000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,61.06887603395145,,65.23279914529915,,59.0078933520435,,62.61362221392106,,68.54400117336462,,,
923,Республика Калмыкия,85000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,80.73564824053749,,71.20219943685916,,64.6942813377585,,64.68536658880265,,56.31473866142201,,,
924,Республика Карелия,86000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,58.036508517298856,,54.9601091386337,,46.0084582644292,,44.706505117045054,,41.98854703426487,,,
925,Республика Коми,87000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,45.54453982328711,,45.30941176470588,,39.536225506091625,,40.5891978654215,,36.828264875177325,,,
926,Республика Крым,35000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,51.274376417233555,,56.72814649101004,,50.23639433262712,,51.37491168158266,,50.171390578443194,,,
927,Республика Марий Эл,88000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,50.90210303579911,,59.131687984147,,54.308627254894425,,52.053700828157346,,38.512216242964065,,,
928,Республика Мордовия,89000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,63.2273477017814,,56.429516698707914,,52.85941034240699,,49.82826446817488,,45.21453055141579,,,
929,Республика Саха (Якутия),98000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,38.0352366017895,,37.40555846668548,,33.06517770504745,,33.33730347784659,,31.186686363216694,,,
930,Республика Северная Осетия — Алания,90000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,72.23178407165335,,72.37939823793428,,61.00092466205803,,61.58347602739725,,56.539432658800514,,,
931,Республика Татарстан,92000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,48.96289818863211,,45.157891029479096,,40.492576726717914,,40.36090723751274,,32.91790524226002,,,
932,Республика Тыва,93000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,52.6657327586207,,47.891236793039155,,44.77695773027892,,40.356191760973296,,41.45364025695931,,,
933,Республика Хакасия,95000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,51.21233382570162,,49.5040303632749,,46.3260750728863,,46.65993838308722,,41.42514696536384,,,
934,Ростовская область,60000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,63.05733836715432,,56.929301233118025,,50.02109937123226,,50.42074773221804,,43.540592327237896,,,
935,Рязанская область,61000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,57.06883321005917,,54.34837637938536,,48.80074317937351,,47.704690535664724,,42.25353383458646,,,
936,Самарская область,36000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,53.53399022936159,,48.93568686006826,,43.99791926758219,,45.40851672360372,,37.69951221423394,,,
937,Санкт-Петербург,40000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,34.703832245224866,,29.492186512022833,,29.19524112312172,,27.903383927419707,,24.719950200349434,,,
938,Саратовская область,63000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,58.208558628147685,,54.70863966492894,,45.736260682276104,,46.8643468271004,,41.97417428369538,,,
939,Сахалинская область,64000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,35.2947704374309,,31.733939126599026,,25.951232067624865,,26.816569240072564,,28.174048978168987,,,
940,Свердловская область,65000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,46.95896359557067,,46.225585562523996,,40.448377738149105,,39.88491446345257,,35.2241303853089,,,
941,Севастополь,67000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,52.55578582100342,,50.54890774508034,,46.92403014069582,,45.98189145072434,,44.81962045536836,,,
942,Смоленская область,66000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,65.88203644485051,,63.45922385946281,,53.327587422447834,,55.9583292156669,,48.91127845368917,,,
943,Ставропольский край,7000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,61.74102327389339,,61.861990851666306,,56.75511756820405,,57.063930694321485,,49.03279842342343,,,
944,Тамбовская область,68000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,63.391114889998946,,59.748956110234765,,52.71395243829019,,49.650363946105,,46.550329831419496,,,
945,Тверская область,28000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,61.00548021549322,,57.89282032248752,,49.162197471992684,,48.35304034746829,,41.17114328718917,,,
946,Томская область,69000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,46.472206486333384,,45.671805816583316,,41.16055682026323,,40.08976515867345,,34.45693086917487,,,
947,Тульская область,70000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,52.52424216693555,,51.01926322741617,,46.46759878419453,,45.507695464806076,,37.93232840958523,,,
948,Тюменская область,71200000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,40.624783334909075,,38.084332490994136,,33.27102824311533,,33.60842171791985,,30.009948531257848,,,
949,Удмуртская республика,94000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,56.7641175638062,,51.13169185574582,,48.40287890480825,,47.43049510734628,,41.987070857845296,,,
950,Ульяновская область,73000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,59.98327165813352,,57.21105994677031,,53.477529317503105,,52.82692978838162,,44.96364555565769,,,
951,Хабаровский край,8000000,Доля расходов на питание,95913,%,"Источник данных о зарплате женщин — Росстат, о стоимости продуктовой корзины — ЕМИСС, Росстат.","Расчет «Горизонтальной России». Средняя  начисленная зарплата мужчин и женщин по группам занятийи субъектам Российской Федерации за октябрь отчетного года.Источник - Росстат: Сведения о заработной плате работников в организациях по категориям персонала и профессиональным группам работников.
Стоимость продуктовой корзины. Источник - Росстат: Стоимость фиксированного набора потребительских товаров и услуг.",,52.18441908142345,,46.92038773240108,,10.358416316475083,,41.30620665607687,,38.5295349091534,,,
